"source","category","chunk_text","chunk_metadata"
"framework_v1.4_kerangka","dasar_pemikiran","Kerangka mikro-segmentasi PKB Palangka Raya v1.4 mengembangkan konsep Piramida Kepatuhan DJP menjadi model yang lebih terperinci dan dapat langsung diterapkan dalam kampanye penagihan. Piramida DJP membagi wajib pajak ke dalam tiga lapis besar (mampu dan mau, mau tetapi belum mampu, tidak mau) dengan intensitas intervensi yang meningkat. Pendekatan v1.4 menguraikan perilaku kepatuhan ke dalam segmen-segmen yang lebih halus menggunakan sinyal data yang dapat diamati. Segmentasi beroperasi pada dua sumbu independen: Tingkat Kepatuhan (perilaku pembayaran) × Tipologi Wilayah (lingkungan struktural). Reference date untuk perhitungan tunggakan: 1 Mei 2025.","{}"
"framework_v1.4_kerangka","sumbu_kepatuhan","Sumbu pertama segmentasi: TINGKAT KEPATUHAN. Menangkap perilaku pembayaran — sudah berapa lama kendaraan tidak patuh dan apakah pernah bertransaksi sama sekali. Tujuh segmen total: H1 (Patuh Aktif), K1 (Baru Lewat Jatuh Tempo, 1-90 hari), O1 (Mulai Mengabaikan, 91-365 hari), M1 (Tidak Patuh Pasif, 1-2 tahun), M2 (Tidak Patuh Kronis, 2-5+ tahun), S1 (Belum Terdaftar, tidak pernah bayar dengan usia ≤15 tahun), S2 (Kendaraan Hantu, tidak pernah bayar dengan usia >15 tahun atau >5 tahun tunggakan + >20 tahun usia).","{}"
"framework_v1.4_kerangka","sumbu_wilayah","Sumbu kedua segmentasi: TIPOLOGI WILAYAH. Menangkap lingkungan struktural yang mempengaruhi akar masalah ketidakpatuhan. Tiga tipologi: (1) Pusat Urban (Palangka Raya, Sampit, Kotawaringin, Kapuas) — perilaku menunda, penegakan belum konsisten, pendekatan digital sebagai kanal utama. (2) Hub Industri (Kotim, Kobar, Bartim, Barut) — armada perusahaan perkebunan/pertambangan, kendaraan plat luar daerah, butuh kemitraan korporat dan pemeriksaan on-site. (3) Wilayah Hinterland (Katingan, Seruyan, Murung Raya, Pulang Pisau, Gunung Mas) — akses geografis sulit, infrastruktur digital terbatas, butuh mobil pajak keliling dan kolaborasi BUMDES/BRILink. Durasi tunggakan yang sama di Palangka Raya dan Murung Raya memerlukan intervensi berbeda karena akar masalah berlainan.","{}"
"framework_v1.4_kerangka","segmen_h1","Segmen H1 — Patuh Aktif (HIJAU). Definisi: tanggal jatuh tempo STNK (sd_notice) belum terlewati pada reference date 1 Mei 2025. Profil perilaku: Wajib pajak yang disiplin, membayar sebelum atau pada saat jatuh tempo, kebiasaan sudah terbentuk dan stabil. Posisi pyramid DJP: basis pyramid — mau dan mampu. Volume di Palangka Raya: 107,967 kendaraan (25% registry). Phone availability: 99.99% punya HP terdaftar. Avg PKB: Rp 500,500. Komposisi: 70.7% sepeda motor, 20.1% minibus, 4.2% pickup. Intervensi yang sesuai: menjaga kepatuhan, BUKAN membangun kepatuhan baru.","{}"
"framework_v1.4_kerangka","segmen_k1","Segmen K1 — Baru Lewat Jatuh Tempo (KUNING). Definisi: tunggakan 1-90 hari + memiliki riwayat pembayaran sebelumnya. Profil perilaku: kelompok yang lupa atau sibuk, niat untuk membayar masih ada tetapi terkendala waktu atau kelalaian sesaat, akumulasi denda masih kecil dan belum jadi beban. Posisi pyramid DJP: peralihan dari patuh ke goyah. Volume di PR: 33,789 kendaraan (8%). Phone availability: 99.99%. Avg PKB: Rp 532,758. Komposisi: 67.9% motor, 23.4% minibus. Intervensi: dorongan ringan melalui pengingat sudah cukup mengembalikan kepatuhan.","{}"
"framework_v1.4_kerangka","segmen_o1","Segmen O1 — Mulai Mengabaikan (ORANYE). Definisi: tunggakan 91-365 hari + memiliki riwayat pembayaran sebelumnya. Profil perilaku: kelompok yang mulai lalai, kewajiban pajak mulai tergeser dari daftar prioritas, mungkin menghadapi kendala keuangan atau kehilangan rasa urgensi, denda mulai terasa memberatkan. Posisi pyramid DJP: goyah menuju tidak mau. Volume di PR: 32,916 kendaraan (8%). Phone availability: 99.98%. Avg PKB: Rp 434,535. Komposisi: 76.2% motor, 14.8% minibus. Intervensi yang sesuai: lebih dari sekadar pengingat — friksi perlu dikurangi secara nyata (SAMSAT Keliling, perpanjangan jam, kemudahan elektronik).","{}"
"framework_v1.4_kerangka","segmen_m1","Segmen M1 — Tidak Patuh Pasif (MERAH). Definisi: tunggakan 1-2 tahun + memiliki riwayat pembayaran sebelumnya. Profil perilaku: sudah mengambil keputusan pasif untuk tidak membayar, akumulasi denda menjadi penghalang nyata — total kewajiban bisa mendekati atau bahkan melebihi pokok pajak kendaraan bermotor itu sendiri. Posisi pyramid DJP: tidak mau secara pasif. Volume di PR: 25,039 kendaraan (6%). Phone availability: 99.91%. Avg PKB: Rp 390,850. Komposisi: 79.8% motor, 11.0% minibus. Intervensi: amnesti parsial masuk dalam pertimbangan — denda bukan lagi sekadar konsekuensi melainkan tembok penghalang.","{}"
"framework_v1.4_kerangka","segmen_m2","Segmen M2 — Tidak Patuh Kronis (MERAH). Definisi: tunggakan 2-5 tahun atau lebih dari 5 tahun untuk kendaraan berusia di bawah 20 tahun. Profil perilaku: ketidakpatuhan yang sudah mengakar dalam, denda bisa mencapai dua hingga empat kali lipat pokok pajak, tanpa intervensi yang mendasar kendaraan-kendaraan ini tidak akan pernah kembali ke dalam sistem. Posisi pyramid DJP: tidak mau secara mengakar. Volume di PR: 140,966 kendaraan (33%, segmen TERBESAR). Phone availability: 71.08% (signifikan rendah, 29% offline). Avg PKB: Rp 240,812. Komposisi: 90.9% motor (dominan), 3.5% minibus, 3.0% pickup. Intervensi: amnesti penuh atas denda diperlukan sebagai satu-satunya pengungkit yang realistis. Wajib diikuti penegakan pasca-amnesti.","{}"
"framework_v1.4_kerangka","segmen_s1","Segmen S1 — Belum Terdaftar (ABU). Definisi: tidak memiliki riwayat transaksi sama sekali (tanggal_transaksi kosong) dan usia kendaraan tidak lebih dari 15 tahun. Profil perilaku: kendaraan tercatat dalam registrasi tetapi tidak pernah bertransaksi. Hampir pasti merupakan PEMBELIAN TANGAN KEDUA TANPA PROSES BALIK NAMA. Nyaris seluruhnya sepeda motor (97.5%). Hanya 2% yang memiliki nomor telepon tercatat. Posisi: di luar pyramid DJP — belum pernah masuk sistem. Volume di PR: 12,756 kendaraan (3%). Avg PKB potensi: Rp 156,855. PENGHALANG UTAMA adalah BIAYA DAN KERUMITAN BALIK NAMA, BUKAN DENDA. Intervensi: pengurangan/penghapusan BBNKB.","{}"
"framework_v1.4_kerangka","segmen_s2","Segmen S2 — Kendaraan Hantu (ABU). Definisi: tidak pernah membayar dan usia kendaraan lebih dari 15 tahun, atau tunggakan lebih dari 5 tahun dengan usia kendaraan lebih dari 20 tahun. Profil perilaku: DIDUGA SUDAH DIBUANG, RUSAK PERMANEN, TIDAK BEROPERASI, PINDAH WILAYAH TANPA MUTASI, ATAU HILANG DALAM RANTAI JUAL-BELI INFORMAL. Hanya 19% memiliki nomor telepon. Posisi: di luar pyramid — bukan target kampanye. Volume di PR: 74,544 kendaraan (17%). Komposisi: 90.1% motor, rata-rata usia 22-35 tahun. Tindakan yang tepat: VERIFIKASI REGISTRASI DAN PEMBERSIHAN DATA. Mengirim kampanye ke S2 merusak kredibilitas seluruh kampanye dan membuang sumber daya.","{}"
