column_id,table_id,column_name,data_type,is_pk,is_fk,fk_references,is_nullable,description,business_meaning,valid_values,sample_values,pct_null,cardinality,sensitivity_level,derivation_source,last_profiled_at,notes
gold.registry_enriched.nopol,gold.registry_enriched,nopol,TEXT,TRUE,FALSE,,FALSE,Nomor polisi kendaraan,Unique vehicle identifier,{},"{KH1234AB,KH5678CD}",0.00,427977,internal,raw,2026-05-04,PK; sole identifier for kendaraan.
gold.registry_enriched.kode_jenken,gold.registry_enriched,kode_jenken,TEXT,FALSE,TRUE,ref.dim_jenken.kode_jenken,FALSE,Kode jenis kendaraan,FK to dim_jenken,{},"{B,C,F,SK}",0.00,30,internal,raw,2026-05-04,5 codes (A D E S anomaly) missing in dim_jenken.
gold.registry_enriched.thn_buat,gold.registry_enriched,thn_buat,INTEGER,FALSE,FALSE,,TRUE,Tahun pembuatan kendaraan,Manufacturing year,"{1980-2025}","{2010,2015,2020}",0.50,46,internal,raw,2026-05-04,Used to derive usia_kendaraan.
gold.registry_enriched.usia_kendaraan,gold.registry_enriched,usia_kendaraan,INTEGER,FALSE,FALSE,,TRUE,Usia kendaraan dalam tahun,Derived from thn_buat,"{0-30}","{5,10,15}",0.50,30,internal,derived,2026-05-04,Reference year minus thn_buat.
gold.registry_enriched.sd_notice,gold.registry_enriched,sd_notice,DATE,FALSE,FALSE,,TRUE,Tanggal notice terakhir,Last notice/SD date,{},"{2024-01-15,2023-08-20}",10.00,2000,internal,raw,2026-05-04,NULL = belum pernah dapat notice.
gold.registry_enriched.durasi_tunggakan_days,gold.registry_enriched,durasi_tunggakan_days,INTEGER,FALSE,FALSE,,TRUE,Hari tunggakan dari sd_notice ke reference_date,Derived,{},"{0,45,200,800}",10.00,3000,internal,derived,2026-05-04,Negative clamped to 0.
gold.registry_enriched.segmen_kepatuhan,gold.registry_enriched,segmen_kepatuhan,TEXT,FALSE,TRUE,ref.dim_segmen.segmen,FALSE,Segmen kepatuhan PKB,Classification per framework v1.4,"{H1,K1,O1,M1,M2,S1,S2,unclassified}","{H1,K1,M2}",0.05,8,internal,derived,2026-05-04,Rule-based classifier.
gold.registry_enriched.has_payment_history,gold.registry_enriched,has_payment_history,BOOLEAN,FALSE,FALSE,,FALSE,Pernah bayar PKB?,Derived from transaksi join,"{TRUE,FALSE}","{TRUE,FALSE}",0.00,2,internal,derived,2026-05-04,Boolean indicator.
gold.registry_enriched.telp_pemilik,gold.registry_enriched,telp_pemilik,TEXT,FALSE,FALSE,,TRUE,Nomor telepon rumah,PII,{},{08abc...},20.00,300000,pii,raw,2026-05-04,Mask in Galen output.
gold.registry_enriched.hp_pemilik,gold.registry_enriched,hp_pemilik,TEXT,FALSE,FALSE,,TRUE,Nomor handphone,PII,{},{08abc...},15.00,330000,pii,raw,2026-05-04,Mask in Galen output.
gold.registry_enriched.has_phone,gold.registry_enriched,has_phone,BOOLEAN,FALSE,FALSE,,FALSE,Boolean reachable via phone,Derived,"{TRUE,FALSE}","{TRUE,FALSE}",0.00,2,internal,derived,2026-05-04,Length-based check.
gold.registry_enriched.wilayah,gold.registry_enriched,wilayah,TEXT,FALSE,TRUE,ref.dim_wilayah.kode_wilayah,TRUE,Kode kelurahan,FK to dim_wilayah,{},"{KEL01,KEL02}",2.00,30,internal,raw,2026-05-04,For wilayah-level rollup.
gold.registry_enriched.est_pkb_per_kendaraan,gold.registry_enriched,est_pkb_per_kendaraan,NUMERIC,FALSE,FALSE,,TRUE,Estimasi PKB,Median per kode_jenken,"{0-50000000}","{350000,1200000}",0.50,500,internal,derived,2026-05-04,Median-based estimate.
gold.registry_enriched.kanal_utama,gold.registry_enriched,kanal_utama,TEXT,FALSE,FALSE,,FALSE,Kanal komunikasi utama,Denormalized from treatment_rules,"{WhatsApp blast,SMS,Telp,Surat,Kunjungan}","{WhatsApp blast,Surat}",0.00,5,public,denormalized,2026-05-04,Updated when treatment_rules changes.
gold.registry_enriched.kebijakan_amnesti,gold.registry_enriched,kebijakan_amnesti,TEXT,FALSE,FALSE,,FALSE,Kebijakan amnesti,Denormalized,{},"{Aktif sampai 2025-12-31,Tidak ada}",0.00,7,public,denormalized,2026-05-04,Per segmen.
gold.registry_enriched.aksi_utama,gold.registry_enriched,aksi_utama,TEXT,FALSE,FALSE,,FALSE,Aksi yang direkomendasikan,Denormalized,{},{Reminder ringan via WA},0.00,7,public,denormalized,2026-05-04,Suggested action; not SOP.
gold.registry_enriched.perkiraan_konversi,gold.registry_enriched,perkiraan_konversi,TEXT,FALSE,FALSE,,FALSE,Range konversi,Denormalized,{},"{12-18%,8-12%}",0.00,7,public,denormalized,2026-05-04,Historical benchmark.
ref.dim_jenken.kode_jenken,ref.dim_jenken,kode_jenken,TEXT,TRUE,FALSE,,FALSE,Kode jenis kendaraan,PK,{},"{B,C,F,SK}",0.00,30,public,raw,2026-05-04,Reference table.
ref.dim_jenken.kategori,ref.dim_jenken,kategori,TEXT,FALSE,TRUE,ref.dim_kategori.kategori,FALSE,R2 atau R4,FK,"{R2,R4}","{R2,R4}",0.00,2,public,raw,2026-05-04,Motor vs mobil.
ref.dim_jenken.est_pkb_per_kendaraan,ref.dim_jenken,est_pkb_per_kendaraan,NUMERIC,FALSE,FALSE,,FALSE,Median PKB per kode,Median aggregate,"{0-50000000}","{350000,1200000}",0.00,30,public,aggregate,2026-05-04,Source for registry denormalization.
