table_id,schema_name,table_name,table_type,description,business_domain,grain,primary_key_columns,foreign_keys,row_count_estimated,refresh_cadence,source_system,upstream_tables,downstream_consumers,owner_team,owner_contact,sensitivity_level,pii_columns,retention_policy,notes
gold.registry_enriched,gold,registry_enriched,fact,"Master kendaraan terdaftar di Palangka Raya dengan kolom turunan (segmen_kepatuhan, est_pkb_per_kendaraan, has_phone, recommended_treatment).",compliance,1 row = 1 unique kendaraan,"{nopol}","[{""column"":""kode_jenken"",""references_table"":""ref.dim_jenken"",""references_column"":""kode_jenken""},{""column"":""segmen_kepatuhan"",""references_table"":""ref.dim_segmen"",""references_column"":""segmen""},{""column"":""wilayah"",""references_table"":""ref.dim_wilayah"",""references_column"":""kode_wilayah""}]",427977,one_shot,xlsx_upload + python_loader,"{transaksi_raw,palangka_raya_xlsx,treatment_v1.4_yaml}","{M-COMPL-001,M-COMPL-002,M-COMPL-003,M-COMPL-005,M-COMPL-006,M-REV-001,M-REV-002,M-REV-003,M-REV-004,M-TREAT-001,M-TREAT-002,M-TREAT-003,M-DEMO-001,M-DEMO-002,M-DEMO-004}",pilot_data_team,pilot.lead@jr.example,internal,"{pemilik_nama,telp_pemilik,hp_pemilik,alamat_pemilik,nik}",pilot_only,Master table for all Galen queries.
gold.transaksi_fact,gold,transaksi_fact,fact,Transaction-level fact table for PKB+SWDKLLJ payments.,revenue,1 row = 1 transaksi,"{transaksi_id}","[{""column"":""nopol"",""references_table"":""gold.registry_enriched"",""references_column"":""nopol""},{""column"":""kode_jenken"",""references_table"":""ref.dim_jenken"",""references_column"":""kode_jenken""}]",0,one_shot,xlsx_upload (NOT YET LOADED),{transaksi_raw},"{M-REV-005,M-REV-006,M-SWD-001,M-SWD-002,M-SWD-003}",pilot_data_team,pilot.lead@jr.example,internal,"{tgl_lahir}",pilot_only,Schema declared but data NOT loaded for pilot (L4-DATA-005).
ref.dim_jenken,ref,dim_jenken,reference,"Reference dimension untuk kode jenis kendaraan; includes est_pkb_per_kendaraan and est_swd_per_kendaraan medians.",reference,1 row = 1 kode_jenken,"{kode_jenken}",[],30,one_shot,seed_yaml + transaksi_aggregate,{transaksi_raw},"{gold.registry_enriched,M-DEMO-001}",pilot_data_team,pilot.lead@jr.example,internal,{},indefinite,Missing 5 codes per L4-DATA-001.
ref.dim_segmen,ref,dim_segmen,reference,Reference table 7 segmen kepatuhan dari framework v1.4.,reference,1 row = 1 segmen,{segmen},[],7,one_shot,seed_yaml,{},"{gold.registry_enriched,ref.treatment_rules}",pilot_data_team,pilot.lead@jr.example,public,{},indefinite,Static seed from framework v1.4.
ref.dim_wilayah,ref,dim_wilayah,reference,Reference dimension kelurahan + typology di Palangka Raya.,reference,1 row = 1 kelurahan,{kode_wilayah},[],30,one_shot,seed_yaml,{palangka_raya_xlsx},{gold.registry_enriched},pilot_data_team,pilot.lead@jr.example,public,{},indefinite,From PalangkaRaya v1.4 sheet typology.
ref.dim_kategori,ref,dim_kategori,reference,Reference kategori kendaraan (R2/R4).,reference,1 row = 1 kategori,{kategori},[],2,one_shot,seed_yaml,{},{ref.dim_jenken},pilot_data_team,pilot.lead@jr.example,public,{},indefinite,Trivial reference.
ref.treatment_rules,ref,treatment_rules,reference,"Maps each segmen → recommended treatment (kanal_utama, kebijakan_amnesti, aksi_utama, perkiraan_konversi).",treatment,1 row = 1 segmen,{segmen},"[{""column"":""segmen"",""references_table"":""ref.dim_segmen"",""references_column"":""segmen""}]",7,one_shot,seed_yaml (treatment_v1.4),{treatment_v1.4_yaml},"{gold.registry_enriched,M-REV-003,M-REV-004,M-TREAT-002}",pilot_data_team,pilot.lead@jr.example,public,{},indefinite,Source of truth for treatment recommendations.
gold_plus.summary_per_segmen,gold_plus,summary_per_segmen,materialized_view,"Pre-aggregated metrics per segmen (count, total_potensi, avg_pkb, phone_coverage).",compliance,1 row = 1 segmen,{segmen},"[{""column"":""segmen"",""references_table"":""ref.dim_segmen"",""references_column"":""segmen""}]",7,manual,derived_python,{gold.registry_enriched},{galen_dashboard},pilot_data_team,pilot.lead@jr.example,internal,{},pilot_only,Refreshed when registry_enriched updated.
gold_plus.summary_per_wilayah,gold_plus,summary_per_wilayah,materialized_view,Pre-aggregated metrics per wilayah/kelurahan.,compliance,1 row = 1 wilayah,{kode_wilayah},"[{""column"":""kode_wilayah"",""references_table"":""ref.dim_wilayah"",""references_column"":""kode_wilayah""}]",30,manual,derived_python,{gold.registry_enriched},{galen_dashboard},pilot_data_team,pilot.lead@jr.example,internal,{},pilot_only,Refreshed manually.
gold_plus.priority_targets,gold_plus,priority_targets,view,Top 1000 high-value quick-win kendaraan (K1+O1 with phone).,treatment,1 row = 1 kendaraan,{nopol},"[{""column"":""nopol"",""references_table"":""gold.registry_enriched"",""references_column"":""nopol""}]",1000,manual,derived_python,{gold.registry_enriched},{field_campaign_target},pilot_data_team,pilot.lead@jr.example,internal,"{telp_pemilik,hp_pemilik}",pilot_only,Critical pilot output.
kb.reference_docs,kb,reference_docs,knowledge_base,KB chunks dengan embeddings — framework v1.4 + paper Saptono & Khozen (2021).,knowledge_base,1 row = 1 chunk,{chunk_id},[],40,one_shot,embed_kb_py,"{kb_chunks_to_embed_jsonl}",{galen_rag_retrieval},pilot_data_team,pilot.lead@jr.example,public,{},indefinite,OpenAI text-embedding-3-small.
kb.few_shot,kb,few_shot,knowledge_base,Few-shot Q&A examples untuk Galen prompt.,knowledge_base,1 row = 1 example,{few_shot_id},[],15,manual,seed_jsonl,"{04_galen_few_shot_jsonl}",{galen_prompt},pilot_data_team,pilot.lead@jr.example,public,{},indefinite,Will grow with L5 promotions.
