metric_id,metric_name,metric_slug,business_domain,metric_type,formula,formula_language,unit,granularity,source_tables,source_columns,upstream_metrics,governance_source,governance_reference,valid_range_min,valid_range_max,null_handling,edge_cases,certification_level,certified_at,certified_by,last_validated_at,validation_method,validation_evidence,confidence_score,review_cadence,owner_team,owner_contact,deprecated,deprecated_reason,superseded_by,notes
M-COMPL-001,Distribusi Kendaraan per Segmen,distribusi_kendaraan_per_segmen,compliance,count,COUNT(*) FROM gold.registry_enriched GROUP BY segmen_kepatuhan,sql,kendaraan,per_segmen,{gold.registry_enriched},{segmen_kepatuhan},{},framework_v1.4,PKB Micro Segmentation v1.4 Sheet 2,0,500000,exclude_nulls,"{""M2/S2 boundary 1% drift""}",gold,2026-05-05,Pilot Lead,2026-05-05,distribution_check_vs_framework,L4-SEGMEN-001,0.98,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,99% match vs reference distribution.
M-COMPL-002,Tingkat Tunggakan Keseluruhan,tingkat_tunggakan_keseluruhan,compliance,percentage,100.0 * SUM(CASE WHEN durasi_tunggakan_days > 0 THEN 1 ELSE 0 END) / COUNT(*),sql,%,keseluruhan,{gold.registry_enriched},{durasi_tunggakan_days},{},derived_runtime,Sheet 2 ekspektasi 60-65%,0,100,treat_as_zero,"{""sensitif terhadap reference_date 30 hari""}",gold,2026-05-05,Pilot Lead,2026-05-05,cross_reference_xlsx,L4-METRIC-003,0.95,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-COMPL-003,Tingkat Tunggakan per Segmen,tingkat_tunggakan_per_segmen,compliance,percentage,100.0 * SUM(CASE WHEN durasi_tunggakan_days > 0 THEN 1 ELSE 0 END) / COUNT(*) GROUP BY segmen_kepatuhan,sql,%,per_segmen,{gold.registry_enriched},"{durasi_tunggakan_days,segmen_kepatuhan}",{},derived_runtime,framework_v1.4 segmen boundaries,0,100,treat_as_zero,"{""S1/S2 dikecualikan""}",gold,2026-05-05,Pilot Lead,2026-05-05,distribution_check_vs_framework,Per-segmen ranges align,0.95,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-COMPL-004,Rata-rata Lama Tunggakan,rata_rata_lama_tunggakan,compliance,duration,AVG(durasi_tunggakan_days) WHERE durasi_tunggakan_days > 0,sql,hari,per_segmen,{gold.registry_enriched},{durasi_tunggakan_days},{},derived_runtime,framework_v1.4,0,5000,exclude_nulls,"{""mean sensitif terhadap outlier""}",silver,2026-05-05,Pilot Lead,2026-05-05,manual_spot_check,Per-segmen averages plausible,0.85,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Pertimbangkan median untuk reporting yang lebih robust.
M-COMPL-005,Tingkat Kepatuhan (H1),tingkat_kepatuhan_h1,compliance,percentage,100.0 * COUNT(*) FILTER (WHERE segmen_kepatuhan = 'H1') / COUNT(*),sql,%,keseluruhan,{gold.registry_enriched},{segmen_kepatuhan},{},framework_v1.4,framework_v1.4 ekspektasi 40%,0,100,treat_as_zero,"{""snapshot semantic — bukan selalu taat""}",gold,2026-05-05,Pilot Lead,2026-05-05,distribution_check_vs_framework,L4-SEGMEN-002,0.97,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-COMPL-006,Tingkat Data Tidak Terklasifikasi,tingkat_data_tidak_terklasifikasi,compliance,percentage,100.0 * COUNT(*) FILTER (WHERE segmen_kepatuhan IS NULL OR segmen_kepatuhan = 'unclassified') / COUNT(*),sql,%,keseluruhan,{gold.registry_enriched},{segmen_kepatuhan},{},derived_runtime,Pilot threshold <2%,0,5,treat_as_zero,"{""alert bila >2%""}",gold,2026-05-05,Pilot Lead,2026-05-05,manual_spot_check,Pilot data <0.1%,0.99,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Threshold data quality.
M-COMPL-007,Pergerakan Segmen Bulanan,pergerakan_segmen_bulanan,compliance,percentage,100.0 * COUNT(distinct nopol WHERE segmen_t != segmen_t_minus_1) / COUNT(distinct nopol),sql,%,keseluruhan,"{gold.registry_enriched,historical_snapshot}","{segmen_kepatuhan,nopol}",{},derived_runtime,Pending pilot scope,0,100,exclude_nulls,"{""butuh 2+ snapshots""}",bronze,2026-05-05,Pilot Lead,,not_validated,Pending,0.50,quarterly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Operasional post-pilot.
M-COMPL-008,Usia Data,usia_data,compliance,duration,(CURRENT_DATE - reference_date)::INTEGER,sql,hari,keseluruhan,{},{reference_date},{},business_assumption,Constant per pilot scope,0,365,no_nulls,"{""alert bila >180 hari""}",gold,2026-05-05,Pilot Lead,2026-05-05,trivial_calc,Trivial,1.00,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-REV-001,Total Potensi PKB,total_potensi_pkb,revenue,currency,SUM(est_pkb_per_kendaraan),sql,IDR,keseluruhan,"{gold.registry_enriched,ref.dim_jenken}","{est_pkb_per_kendaraan,segmen_kepatuhan}",{},derived_runtime,L4-METRIC-001 median-based,0,1000000000000,exclude_nulls,"{""median vs mean untuk skewed dist""}",silver,2026-05-05,Pilot Lead,2026-05-05,plausibility_check,SIPADU recon pending,0.80,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Estimasi median per kode_jenken.
M-REV-002,Rata-rata PKB per Kendaraan,rata_rata_pkb_per_kendaraan,revenue,currency,AVG(est_pkb_per_kendaraan),sql,IDR,per_segmen,{gold.registry_enriched},{est_pkb_per_kendaraan},{},derived_runtime,Plausibility,0,50000000,exclude_nulls,{},silver,2026-05-05,Pilot Lead,2026-05-05,plausibility_check,Per-segmen averages plausible,0.80,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,
M-REV-003,Estimasi Penerimaan PKB (Konservatif),estimasi_penerimaan_pkb_konservatif,revenue,currency,total_potensi_pkb * konversi_lower_bound[segmen],sql,IDR,per_segmen,"{gold.registry_enriched,ref.treatment_rules}","{est_pkb_per_kendaraan,perkiraan_konversi}",{M-REV-001},framework_v1.4,Konversi range dari framework v1.4,0,200000000000,exclude_nulls,"{""lower-bound 12% dipakai""}",gold,2026-05-05,Pilot Lead,2026-05-05,framework_validation,L4-METRIC-002,0.85,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Standard reporting konservatif.
M-REV-004,Estimasi Penerimaan PKB (Optimistis),estimasi_penerimaan_pkb_optimistis,revenue,currency,total_potensi_pkb * konversi_upper_bound[segmen],sql,IDR,per_segmen,"{gold.registry_enriched,ref.treatment_rules}","{est_pkb_per_kendaraan,perkiraan_konversi}",{M-REV-001},framework_v1.4,Upper bound 18%,0,300000000000,exclude_nulls,"{""pakai dengan hati-hati""}",silver,2026-05-05,Pilot Lead,2026-05-05,framework_validation,Best historical campaign,0.75,monthly,pilot_data_team,pilot.lead@jr.example,FALSE,,,Ada risiko over-promising.
