"category","question","reasoning","expected_answer","approved"
"segment_summary","Berapa kendaraan di segmen M2?","Lookup ke agg_segmen_kabupaten untuk M2 di Palangka Raya. Sebut konteks bahwa ini segmen terbesar.","Segmen M2 (Tidak Patuh Kronis) di Palangka Raya = 140,966 kendaraan = 33% dari registry — ini segmen terbesar. Profil: tunggakan 2-5 tahun atau lebih, dominan motor (90.9%), avg PKB Rp 240,812 per kendaraan. Total potensi PKB: ~Rp 33.9 M. Hanya 71% yang punya HP, jadi 29% butuh penjangkauan offline via kelurahan/RT-RW. Treatment yang sesuai: amnesti penuh denda dengan deadline 90 hari + razia pasca-amnesti.","TRUE"
"treatment_rec","Treatment apa untuk segmen M1?","M1 = tunggakan 1-2 tahun. Akumulasi denda mulai jadi penghalang nyata. Per framework: amnesti parsial 50-75%.","Untuk segmen M1 (Tidak Patuh Pasif, tunggakan 1-2 tahun): **AMNESTI PARSIAL 50-75% pengurangan denda PKB** dengan deadline 60 hari, satu kali. Pokok PKB + SWDKLLJ tetap dibayar penuh. Kanal utama: WhatsApp (99.91% terjangkau) + surat tagihan fisik sebagai penguat. Aktivasi Duta Pajak kelurahan via program Hayak Bahayau atau Huma Betang Mahaga. Expected konversi: 25-40%. Dari 25,039 kendaraan M1 di PR, potensi recovery ~Rp 2.45 M dengan target konversi konservatif 25%.","TRUE"
"amnesty_policy","Apakah amnesti penuh denda berlaku untuk semua tunggakan?","Penting untuk specialist tegaskan: amnesti TIDAK blanket. Hanya M2 yang dapat amnesti penuh.","TIDAK. Amnesti dirancang differentiated, bukan blanket — ini prinsip dasar framework. Hanya **segmen M2 (Tidak Patuh Kronis, tunggakan 2-5+ tahun)** yang dapat amnesti penuh denda + tunggakan pokok historis dapat dinegosiasi. M1 hanya dapat parsial 50-75%. H1, K1, O1 TIDAK dapat amnesti — memberikan amnesti ke segmen ini akan menghancurkan basis pyramid karena WP patuh akan tunda pembayaran menunggu amnesti berikutnya (moral hazard). S1 dapat lever berbeda: pengurangan BBNKB. S2 tidak ada amnesti, target = data cleanup. Setiap kebijakan amnesti wajib diikuti penegakan setelah deadline berakhir.","TRUE"
"raci_lookup","Siapa pelaksana untuk razia M2 pasca-amnesti?","Lookup ke raci_matrix untuk aksi 'razia pasca-amnesti' M2.","Razia pasca-amnesti M2 di-execute oleh **Polri/Ditlantas (R = Responsible)**. Stakeholder lain: SAMSAT (C = Consulted untuk koordinasi dengan loket pembayaran on-site), Bapenda Kalteng (I = Informed setelah operasi). Aksi ini tidak boleh dijalankan tanpa amnesti window berakhir terlebih dulu — itu prasyarat regulasi. Lokasi razia berbasis data konsentrasi M2: dari Sheet 7, motor (90.9% dari M2) terkonsentrasi di kecamatan dengan kepadatan tinggi. Tujuan razia: mengakhiri sinyal bahwa tidak membayar = tidak ada konsekuensi.","TRUE"
"revenue_projection","Berapa potensi pendapatan dari segmen K1 dengan konversi 60%?","Lookup revenue_scenario untuk K1 konservatif (60%).","Dengan konversi 60% (target konservatif), segmen K1 (Baru Lewat Jatuh Tempo) menghasilkan **Rp 10.8 M tambahan revenue PKB pokok**. Detail: 33,789 kendaraan × 60% = 20,273 kendaraan terkonversi × avg PKB Rp 532,758 per kendaraan. K1 adalah segmen paling 'ringan' — denda masih kecil, kanal WhatsApp efektif (99.99% punya HP), tidak butuh amnesti. Treatment hanya pengingat bertahap (minggu 1, hari 30, hari 60, switch ke SMS hari 45). Catatan: angka ini hanya pokok PKB. Belum termasuk SWDKLLJ, opsen, BBNKB, atau komponen lain — total realized revenue akan lebih besar.","TRUE"
"segment_diff","Bedanya S1 dan S2 apa?","Critical distinction. Specialist harus bisa jelaskan dengan tegas.","S1 dan S2 sama-sama 'tidak pernah transact' (tanggal_transaksi NULL), tapi sangat berbeda secara root cause dan treatment.

**S1 (Belum Terdaftar)**: kendaraan dengan usia ≤15 tahun. 12,756 di PR. Profil: 97.5% motor, hanya 1.59% punya HP. Hipotesis utama: pembelian tangan kedua tanpa proses balik nama. Pemilik baru tidak terdaftar di SAMSAT. **Penghalang utama = biaya BBNKB, BUKAN denda**. Treatment: pengurangan/penghapusan BBNKB + community-based campaign (RT/RW, SAMSAT Keliling dengan kapabilitas balik nama). Setiap konversi = aliran pendapatan baru berulang.

**S2 (Kendaraan Hantu)**: usia >15 tahun + tidak pernah transact, ATAU tunggakan >5 tahun + usia >20 tahun. 74,544 di PR. Profil: 19% punya HP, rata-rata usia 22-35 tahun. Hipotesis: kendaraan sudah dibuang/rusak permanen/pindah wilayah tanpa mutasi. **Bukan target kampanye**. Treatment: data cleanup via cross-match Polri/Ditlantas. Mengirim kampanye ke S2 membakar kredibilitas seluruh kampanye dan membuang anggaran.

Kesalahan paling umum: confuse S1 dengan S2 → kirim amnesti ke S2 (sia-sia) atau kirim cleanup notice ke S1 (kehilangan opportunity revenue baru).","TRUE"
"channel_strategy","Untuk segmen O1, channel apa yang efektif?","O1 = mulai mengabaikan, 99.98% punya HP. Strategy: WhatsApp bertahap.","Segmen O1 (Mulai Mengabaikan, tunggakan 91-365 hari) di Palangka Raya: 99.98% punya HP, jadi **digital-first 100% feasible**. Strategi multi-sentuh:

1. **WhatsApp bertahap** (3 pesan dalam 6 minggu): pertama urgensi ringan, kedua tunjukkan akumulasi denda yang bertumbuh personal, ketiga sertakan jadwal SAMSAT Keliling terdekat dengan kecamatan penerima.
2. **SMS sebagai cadangan** untuk yang tidak respond WhatsApp.
3. **Pemberitahuan berbasis lokasi** saat SAMSAT Keliling berada dekat penerima.
4. **Integrasi data ETLE** untuk mengidentifikasi kendaraan O1 yang masih beroperasi di jalan — penegakan target.

Catatan kunci: **TIDAK ADA AMNESTI** untuk O1. Denda 3-12 bulan masih seimbang dengan pelanggaran. Memberikan amnesti dini menciptakan moral hazard untuk H1 dan K1. Intervensi yang tepat: kurangi hambatan (Keliling, perpanjangan jam layanan, kemudahan pembayaran elektronik), bukan kurangi kewajiban. Expected konversi: 35-50%.","TRUE"
"segment_lookup","Mana segmen yang dapat amnesti penuh denda?","Lookup straight: M2 only.","Hanya **segmen M2 (Tidak Patuh Kronis)** yang berhak atas amnesti penuh denda PKB + SWDKLLJ. Selain itu:
- **M1**: amnesti parsial 50-75% saja (deadline 60 hari)
- **S1**: bukan amnesti denda (tidak ada riwayat denda) — yang berlaku adalah pengurangan BBNKB
- **H1, K1, O1**: TIDAK dapat amnesti — moral hazard
- **S2**: tidak ada kebijakan amnesti — target adalah data cleanup

Logika di balik amnesti penuh M2: denda akumulasi 2-5 tahun bisa mencapai 2-4 kali lipat pokok pajak. Tanpa penghapusan penuh, kendaraan ini tidak akan pernah kembali ke sistem — pilihan pragmatis: pulihkan pokok yang pasti diterima daripada menuntut pokok+denda yang tidak akan pernah terealisasi. Window 90 hari, satu kali, WAJIB diikuti razia setelah deadline.","TRUE"
"data_lookup","Berapa persen kendaraan M2 yang punya HP?","Lookup data Sheet 2.","**71.08%** kendaraan M2 di Palangka Raya punya nomor HP tercatat. Ini angka yang signifikan rendah dibanding segmen K1/O1/M1 yang masing-masing >99%. Implikasi strategi:

- **71% terjangkau digital** → kampanye WhatsApp massal layak dilakukan untuk subset ini
- **29% (~40,880 kendaraan) TIDAK terjangkau digital** → harus dijangkau via kanal fisik: kelurahan, RT/RW, surat tagihan fisik, SAMSAT Keliling

Pattern data ini juga konsisten dengan profil M2: kendaraan motor lama (90.9% motor, rata-rata usia 12.7 tahun), kemungkinan banyak yang tangan ketiga atau lebih. Profil ini menjelaskan kenapa M2 butuh treatment kombinasi (digital + offline + razia) — bukan single-channel.","TRUE"
"revenue_total","Dampak revenue konservatif total berapa?","Lookup Sheet 6 conservative scenario summary.","Skenario konservatif total: **Rp 23.5 M tambahan revenue PKB pokok** dari Palangka Raya, dengan **60,471 kendaraan terkonversi** dari semua segmen target.

Breakdown:
- K1 (60% conv): 20,273 kendaraan → Rp 10.80 M
- O1 (35% conv): 11,520 kendaraan → Rp 5.01 M
- M1 (25% conv): 6,259 kendaraan → Rp 2.45 M
- M2 (15% conv): 21,144 kendaraan → Rp 5.09 M
- S1 (10% conv): 1,275 kendaraan → Rp 0.20 M

Catatan penting:
1. Angka ini **PKB pokok saja** — belum termasuk SWDKLLJ, opsen, BBNKB. Total realized revenue akan lebih besar.
2. Untuk M2, denda yang dihapus tidak dihitung sebagai pendapatan (memang sengaja dihapus agar pokok bisa terkumpul).
3. **S1 punya nilai tahun pertama kecil tapi compounding** — setiap konversi menghasilkan aliran pendapatan baru yang berulang setiap tahun.
4. Skenario optimis bisa mencapai Rp 35+ M dengan konversi yang lebih agresif.","TRUE"
